collected_at,route_short_name,route_id,trip_id,stop_id,stop_sequence,raw_arrival_delay_s,raw_departure_delay_s,computed_arrival_delay_s,computed_departure_delay_s
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_12_21,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_253_42319,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_9_17,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_267_45919,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_273_46529,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_272_46429,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_1_2,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_257_43519,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_342_268519,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_5_service_1,stop_258_44219,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_258_44219,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_342_268529,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_257_43529,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_1_1,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_272_46419,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_273_46519,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_267_45929,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_9_18,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_253_42329,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_12_19,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_248_41329,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_246_40829,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_245_40729,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_199_11229,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_8_16,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_1495_373529,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_574_304029,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_208_13029,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_207_12929,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_203_12519,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_204_12619,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_852_324219,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_551_trip_6_service_1,stop_222_35719,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_4_service_1,stop_297_62419,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_4_service_1,stop_298_63039,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_4_service_1,stop_299_63219,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_4_service_1,stop_306_71619,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_4_service_1,stop_305_71519,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_4_service_1,stop_307_71819,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_4_service_1,stop_841_317619,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_841_317619,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_307_71829,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_305_71529,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_306_71629,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_299_63229,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_298_63049,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_297_62429,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_296_62329,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_339_62129,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_820_315829,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_278_57029,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_1103_347129,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_227_36229,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_223_35819,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_222_35729,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_852_324239,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_556_trip_5_service_1,stop_204_12629,0,,,,
